会社名,店舗名,都道府県,住所,店舗URL,問い合わせフォームURL,代表電話番号,店舗電話番号,お問い合わせメールアドレス,店舗数（会社全体）,本部URL,採用ページURL,Google口コミ件数,Google評価,備考
アパマンショップ,五反田店,東京都,,https://www.apamanshop.com/shop/13047404/,,,,,"約1,093店舗(2021・賃貸仲介No.1/要確認)",https://www.apamanshop.com/,https://www.apamannet.com/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アパマンショップ,横浜西口店,神奈川県,,https://www.apamanshop.com/shop/14054808/,,,,,"約1,093店舗(2021・賃貸仲介No.1/要確認)",https://www.apamanshop.com/,https://www.apamannet.com/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アパマンショップ,栄店,愛知県,,https://www.apamanshop.com/shop/23004202/,,,,,"約1,093店舗(2021・賃貸仲介No.1/要確認)",https://www.apamanshop.com/,https://www.apamannet.com/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アパマンショップ,名古屋駅東口店,愛知県,,https://www.apamanshop.com/shop/23004311/,,,,,"約1,093店舗(2021・賃貸仲介No.1/要確認)",https://www.apamanshop.com/,https://www.apamannet.com/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アパマンショップ,博多駅前店,福岡県,,https://www.apamanshop.com/shop/40041121/,,,,,"約1,093店舗(2021・賃貸仲介No.1/要確認)",https://www.apamanshop.com/,https://www.apamannet.com/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アパマンショップ,新宿東口店,東京都,,https://www.apamanshop.com/shop/13041106/,,,,,"約1,093店舗(2021・賃貸仲介No.1/要確認)",https://www.apamanshop.com/,https://www.apamannet.com/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アパマンショップ,新宿東南口店,東京都,,https://www.apamanshop.com/shop/13062327/,,,,,"約1,093店舗(2021・賃貸仲介No.1/要確認)",https://www.apamanshop.com/,https://www.apamannet.com/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
リブマックス,上野店,東京都,,https://www.livemax.net/livemax-store-list/59749/,,,,,全国(要確認),https://www.livemax.co.jp/,https://www.livemax.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ミニミニ,八王子店,東京都,,https://minimini.jp/shop/10013/hachioji/,,,,,"グループ約1,000店舗(要確認)",https://www.minimini.co.jp/,https://www.minimini.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ミニミニ,町田店,東京都,,https://minimini.jp/shop/10016/machida/,,,,,"グループ約1,000店舗(要確認)",https://www.minimini.co.jp/,https://www.minimini.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ミニミニ,川越店,埼玉県,,https://minimini.jp/shop/10011/kawagoe/,,,,,"グループ約1,000店舗(要確認)",https://www.minimini.co.jp/,https://www.minimini.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,浅草橋店,東京都,,https://www.pitat.com/shopDetail/asakusabashi.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,天王寺店,大阪府,,https://www.pitat.com/shopDetail/tennouji.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,上本町店,大阪府,,https://www.pitat.com/shopDetail/uehonmachi.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ハウスコム,藤沢店,神奈川県,,https://www.housecom.jp/shop/fujisawa-hc/,,,,,グループ約232店舗,https://www.housecom.co.jp/,https://www.housecom.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
CLCコーポレーション,浦安店,千葉県,,https://clcnetwork.co.jp/shop_urayasu.html,,,,,東京東/神奈川/千葉(要確認),https://www.clcnet.jp/,https://www.clcnet.jp/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アエラスグループ,八王子店,東京都,,https://www.aeras-group.jp/shop/aeras-hachioji/,,,,,首都圏 直営67店舗,https://www.aeras-group.jp/,https://www.aeras-group.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アエラスグループ,立川店,東京都,,https://www.aeras-group.jp/shop/aeras-tachikawa/,,,,,首都圏 直営67店舗,https://www.aeras-group.jp/,https://www.aeras-group.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アエラスグループ,橋本店,神奈川県,,https://www.aeras-group.jp/shop/aeras-hashimoto/,,,,,首都圏 直営67店舗,https://www.aeras-group.jp/,https://www.aeras-group.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
タウンハウジング,川口店,埼玉県,,https://www.townhousing.co.jp/store/kawaguchi,,,,,直営139店舗(東京/神奈川/埼玉/千葉),https://www.townhousing.co.jp/,https://town-group.co.jp/recruit/companies/townhousing,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
タウンハウジング,川越店,埼玉県,,https://www.townhousing.co.jp/store/kawagoe,,,,,直営139店舗(東京/神奈川/埼玉/千葉),https://www.townhousing.co.jp/,https://town-group.co.jp/recruit/companies/townhousing,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
タウンハウジング,草加店,埼玉県,,https://www.townhousing.co.jp/store/soka,,,,,直営139店舗(東京/神奈川/埼玉/千葉),https://www.townhousing.co.jp/,https://town-group.co.jp/recruit/companies/townhousing,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
タウンハウジング,本厚木店,神奈川県,,https://www.townhousing.co.jp/store/hon-atsugi,,,,,直営139店舗(東京/神奈川/埼玉/千葉),https://www.townhousing.co.jp/,https://town-group.co.jp/recruit/companies/townhousing,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
タウンハウジング,登戸店,神奈川県,,https://www.townhousing.co.jp/store/noborito,,,,,直営139店舗(東京/神奈川/埼玉/千葉),https://www.townhousing.co.jp/,https://town-group.co.jp/recruit/companies/townhousing,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
タウンハウジング,橋本店,神奈川県,,https://www.townhousing.co.jp/store/hashimoto,,,,,直営139店舗(東京/神奈川/埼玉/千葉),https://www.townhousing.co.jp/,https://town-group.co.jp/recruit/companies/townhousing,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ミニミニ,赤羽店,東京都,,https://minimini.jp/shop/10011/akabane/,,,,,"グループ約1,000店舗(要確認)",https://www.minimini.co.jp/,https://www.minimini.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ミニミニ,大井町店,東京都,,https://minimini.jp/shop/10014/oimachi/,,,,,"グループ約1,000店舗(要確認)",https://www.minimini.co.jp/,https://www.minimini.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アパマンショップ,上野店,東京都,,https://www.apamanshop.com/shop/13041142/,,,,,"約1,093店舗(2021・賃貸仲介No.1/要確認)",https://www.apamanshop.com/,https://www.apamannet.com/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,上大岡店,神奈川県,,https://www.pitat.com/shopDetail/kamiooka.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,横浜販売センター,神奈川県,,https://www.pitat.com/shopDetail/yokohama-hc.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,横浜ハマボールイアス店,神奈川県,,https://www.pitat.com/shopDetail/yokohamahi.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ハウスコム,金山店,愛知県,,https://www.housecom.jp/shop/kanayama-hc/,,,,,グループ約232店舗,https://www.housecom.co.jp/,https://www.housecom.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ハウスコム,名古屋店,愛知県,,https://www.housecom.jp/shop/nagoya-hc/,,,,,グループ約232店舗,https://www.housecom.co.jp/,https://www.housecom.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
リブマックス,川崎店,神奈川県,,https://www.livemax.net/livemax-store-list/59745/,,,,,全国(要確認),https://www.livemax.co.jp/,https://www.livemax.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
リブマックス,名古屋新幹線口店,愛知県,,https://www.livemax.net/livemax-store-list/59705/,,,,,全国(要確認),https://www.livemax.co.jp/,https://www.livemax.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
エイブル,五反田店,東京都,,https://shop.able.co.jp/000000024/,,,,,全国 直営+FC(最新要確認),https://www.able.co.jp/,https://www.able.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
エイブル,目黒店,東京都,,https://shop.able.co.jp/000000075/,,,,,全国 直営+FC(最新要確認),https://www.able.co.jp/,https://www.able.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
エイブル,中目黒店,東京都,,https://shop.able.co.jp/000000355/,,,,,全国 直営+FC(最新要確認),https://www.able.co.jp/,https://www.able.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アエラスグループ,学芸大学店,東京都,,https://www.aeras-group.jp/shop/aeras-gakugeidaigaku/,,,,,首都圏 直営67店舗,https://www.aeras-group.jp/,https://www.aeras-group.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
タウンハウジング,春日部店,埼玉県,,https://www.townhousing.co.jp/store/kasukabe,,,,,直営139店舗(東京/神奈川/埼玉/千葉),https://www.townhousing.co.jp/,https://town-group.co.jp/recruit/companies/townhousing,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
タウンハウジング,新越谷店,埼玉県,,https://www.townhousing.co.jp/store/shin-koshigaya,,,,,直営139店舗(東京/神奈川/埼玉/千葉),https://www.townhousing.co.jp/,https://town-group.co.jp/recruit/companies/townhousing,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
タウンハウジング,戸塚店,神奈川県,,https://www.townhousing.co.jp/store/totsuka,,,,,直営139店舗(東京/神奈川/埼玉/千葉),https://www.townhousing.co.jp/,https://town-group.co.jp/recruit/companies/townhousing,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ミニミニ,大和店,神奈川県,,https://minimini.jp/shop/10016/yamato/,,,,,"グループ約1,000店舗(要確認)",https://www.minimini.co.jp/,https://www.minimini.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ミニミニ,FC八尾店,大阪府,,https://minimini.jp/shop/50170044/fc-yao/,,,,,"グループ約1,000店舗(要確認)",https://www.minimini.co.jp/,https://www.minimini.co.jp/recruit/,,,FC店 検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ミニミニ,FC千里中央店,大阪府,,https://minimini.jp/shop/50130013/fc-senrichuominami/,,,,,"グループ約1,000店舗(要確認)",https://www.minimini.co.jp/,https://www.minimini.co.jp/recruit/,,,FC店 検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アパマンショップ,池袋駅前公園店,東京都,,https://www.apamanshop.com/shop/13042901/,,,,,"約1,093店舗(2021・賃貸仲介No.1/要確認)",https://www.apamanshop.com/,https://www.apamannet.com/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,京橋北口店,大阪府,,https://www.pitat.com/shopDetail/kyoubashikitaguchi.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,本町店,大阪府,,https://www.pitat.com/shopDetail/honmachi.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ハウスコム,越谷店,埼玉県,,https://www.housecom.jp/shop/koshigaya-hc/,,,,,グループ約232店舗,https://www.housecom.co.jp/,https://www.housecom.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ハウスコム,松戸店,千葉県,,https://www.housecom.jp/shop/matsudo-hc/,,,,,グループ約232店舗,https://www.housecom.co.jp/,https://www.housecom.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ハウスコム,五反田店,東京都,,https://www.housecom.jp/shop/gotanda-hc/,,,,,グループ約232店舗,https://www.housecom.co.jp/,https://www.housecom.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ハウスコム,蒲田店,東京都,,https://www.housecom.jp/shop/kamata-hc/,,,,,グループ約232店舗,https://www.housecom.co.jp/,https://www.housecom.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ハウスコム,北千住店,東京都,,https://www.housecom.jp/shop/kitasenju-hc/,,,,,グループ約232店舗,https://www.housecom.co.jp/,https://www.housecom.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ハウスコム,津田沼店,千葉県,,https://www.housecom.jp/shop/tsudanuma-hc/,,,,,グループ約232店舗,https://www.housecom.co.jp/,https://www.housecom.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
エイブル,葛西店,東京都,,https://shop.able.co.jp/000000071/,,,,,全国 直営+FC(最新要確認),https://www.able.co.jp/,https://www.able.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
タウンハウジング,蒲田店,東京都,,https://www.townhousing.co.jp/store/kamata,,,,,直営139店舗(東京/神奈川/埼玉/千葉),https://www.townhousing.co.jp/,https://town-group.co.jp/recruit/companies/townhousing,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
タウンハウジング,高円寺店,東京都,,https://www.townhousing.co.jp/store/koenji,,,,,直営139店舗(東京/神奈川/埼玉/千葉),https://www.townhousing.co.jp/,https://town-group.co.jp/recruit/companies/townhousing,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
タウンハウジング,自由が丘店,東京都,,https://www.townhousing.co.jp/store/jiyugaoka,,,,,直営139店舗(東京/神奈川/埼玉/千葉),https://www.townhousing.co.jp/,https://town-group.co.jp/recruit/companies/townhousing,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,高田馬場店,東京都,,https://www.pitat.com/shopDetail/takadanobaba.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アパマンショップ,横浜東口店,神奈川県,,https://www.apamanshop.com/shop/14053901/,,,,,"約1,093店舗(2021・賃貸仲介No.1/要確認)",https://www.apamanshop.com/,https://www.apamannet.com/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
リブマックス,五反田店,東京都,,https://www.livemax.net/livemax-store-list/59753/,,,,,全国(要確認),https://www.livemax.co.jp/,https://www.livemax.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
